source_geocode,target_geocode
1100015,1100296
1100015,1100288
1100023,1100601
1100023,1100452
1100023,1100403
1100049,1100288
1100049,1101203
1100049,5107578
1100098,5105150
1100106,1100320
1100114,1101302
1100122,1100254
1100130,1301704
1100130,1303304
1100130,1302702
1100148,1100254
1100155,1101559
1100155,1101435
1100189,1100924
1100205,1100338
1100205,1101104
1100205,1300904
1100254,1100148
1100254,1101708
1100254,1100122
1100262,1100940
1100288,1100015
1100288,1100049
1100296,1100015
1100320,1100106
1100338,1100205
1100403,1101401
1100403,1100452
1100403,1100023
1100403,1100940
1100403,1100809
1100452,1100023
1100452,1100403
1100502,1100908
1100601,1100023
1100809,1100403
1100809,1100940
1100908,1100502
1100924,1100189
1100940,1100403
1100940,1100262
1100940,1100809
1101104,1100205
1101203,1100049
1101302,1100114
1101401,1100403
1101435,1100155
1101559,1100155
1101708,1100254
1200013,1200385
1200104,1200401
1200104,1200500
1200203,1200336
1200302,1200435
1200328,1200351
1200336,1200203
1200336,1300201
1200344,1200500
1200351,1200328
1200351,1200609
1200385,1200013
1200393,1200609
1200401,1200104
1200435,1200302
1200500,1200104
1200500,1200344
1200609,1200351
1200609,1200393
1300029,1302207
1300029,1304260
1300060,1303908
1300086,1300631
1300102,1304104
1300144,1503754
1300201,1200336
1300300,1301159
1300409,1301209
1300409,1301308
1300508,1302900
1300607,1301803
1300607,1301407
1300607,1303908
1300607,1302306
1300607,1304062
1300631,1301100
1300631,1300086
1300631,1302504
1300680,1301902
1300805,1302702
1300805,1302553
1300904,1100205
1301001,1301951
1301001,1304104
1301100,1300631
1301100,1301159
1301159,1300300
1301159,1301100
1301159,1302553
1301209,1304104
1301209,1300409
1301308,1302801
1301308,1300409
1301407,1300607
1301506,1303502
1301506,1301951
1301654,1301803
1301704,1100130
1301704,1304104
1301803,1301654
1301803,1300607
1301852,1303205
1301902,1302900
1301902,1300680
1301902,1302603
1301902,1302009
1301951,1302405
1301951,1301506
1301951,1301001
1301951,1302306
1302009,1301902
1302009,1304005
1302009,1303569
1302009,1303536
1302108,1302801
1302207,1300029
1302306,1301951
1302306,1300607
1302306,1303908
1302405,1301951
1302504,1300631
1302504,1303205
1302553,1300805
1302553,1301159
1302603,1301902
1302702,1100130
1302702,1300805
1302801,1304203
1302801,1301308
1302801,1302108
1302900,1301902
1302900,1300508
1303205,1302504
1303205,1301852
1303304,5103254
1303304,1100130
1303403,1304302
1303502,1301506
1303536,1302009
1303536,1303957
1303569,1302009
1303700,1304237
1303908,1300607
1303908,1302306
1303908,1300060
1303957,1303536
1304005,1304401
1304005,1302009
1304062,1300607
1304104,1301704
1304104,1301001
1304104,1300102
1304104,1301209
1304203,1302801
1304237,1303700
1304260,1300029
1304302,1303403
1304302,1400472
1304302,1400506
1304401,1304005
1400050,1400100
1400100,1400175
1400100,1400050
1400159,1400209
1400175,1400282
1400175,1400308
1400175,1400100
1400209,1400233
1400209,1400282
1400209,1400159
1400233,1400209
1400282,1400209
1400282,1400175
1400308,1400175
1400472,1304302
1400506,1304302
1500107,1504703
1500131,1501576
1500206,1504422
1500206,1501501
1500305,1502509
1500347,1506161
1500347,1508407
1500347,1502772
1501006,1503903
1501105,1501204
1501204,1505809
1501204,1501105
1501253,1508407
1501303,1504703
1501303,1505700
1501402,1505700
1501402,1506351
1501451,1506807
1501501,1500206
1501501,1501907
1501576,1707405
1501576,2111532
1501576,1500131
1501600,1505007
1501600,1505601
1501725,1508159
1501782,1503093
1501808,1507706
1501907,1504422
1501907,1501501
1501956,2105658
1501956,1508308
1502004,1507003
1502004,1502608
1502202,1505601
1502400,1507607
1502400,1507003
1502400,1508209
1502400,1507102
1502509,1500305
1502509,1507904
1502608,1502004
1502608,1506302
1502764,1507300
1502772,1508407
1502772,1505635
1502772,1500347
1502855,1506807
1502905,1507961
1502905,1507102
1502939,2100055
1502954,1508407
1502954,1505635
1503044,1505551
1503044,1506138
1503093,1508100
1503093,1501782
1503101,1505908
1503200,1506906
1503408,1507607
1503408,1506500
1503457,1507953
1503606,1508050
1503754,1300144
1503754,1505031
1503804,1504976
1503903,1501006
1503903,1506807
1504000,1504901
1504109,1504307
1504208,1507508
1504307,1504109
1504307,1506203
1504422,1500206
1504422,1501907
1504455,1505908
1504455,1506005
1504604,1505205
1504703,1500107
1504703,1501303
1504901,1504000
1504950,1508308
1504976,1503804
1505007,1501600
1505007,1506906
1505031,1503754
1505031,5104104
1505205,1504604
1505437,1505536
1505486,1505809
1505494,1507458
1505536,1505437
1505551,1503044
1505601,1501600
1505601,1502202
1505601,1506104
1505601,1506906
1505635,1508407
1505635,1502772
1505635,1502954
1505635,1718865
1505700,1501303
1505700,1501402
1505809,1501204
1505809,1505486
1505908,1503101
1505908,1504455
1506005,1508159
1506005,1504455
1506104,1505601
1506112,1507474
1506138,1503044
1506161,1500347
1506203,1504307
1506302,1502608
1506351,1501402
1506500,1503408
1506708,1507300
1506708,5108600
1506807,1501451
1506807,1502855
1506807,1503903
1506906,1505007
1506906,1505601
1506906,1503200
1507003,1502400
1507003,1508209
1507003,1502004
1507102,1502400
1507102,1507961
1507102,1502905
1507300,1502764
1507300,1506708
1507458,1505494
1507466,1507961
1507474,1506112
1507508,1504208
1507508,2111532
1507607,1503408
1507607,1502400
1507706,1501808
1507904,1502509
1507953,1503457
1507961,1508209
1507961,1507466
1507961,1507102
1507961,1502905
1508050,1503606
1508100,1503093
1508159,1501725
1508159,1506005
1508209,1502400
1508209,1507003
1508209,1507961
1508308,1504950
1508308,1501956
1508407,1502772
1508407,1505635
1508407,1502954
1508407,1501253
1508407,1500347
1600204,1600238
1600238,1600550
1600238,1600204
1600550,1600238
1700251,1703107
1700301,1713809
1701051,1713809
1701903,1703909
1702109,1722081
1702109,1713957
1702554,1720804
1702901,1710706
1702901,1718303
1703008,1722081
1703107,1700251
1703701,1716604
1703800,1720309
1703909,1701903
1704105,1718881
1705508,1714880
1706506,1720002
1707405,1501576
1708205,1711902
1710706,1702901
1711902,1708205
1711902,1717503
1712702,1718659
1712702,2201309
1713601,1721000
1713809,2104057
1713809,1700301
