geocode,Forecast_Year,Pred_R0,Pred_Peak_Week,Pred_Total_Cases_Log,Pred_Total_Cases,Pred_Alpha,Pred_Beta
1100015,2026,1.554146,15.938324,6.1574645,471,0.36046967,0.46844804
1100023,2026,1.4632217,16.700296,6.3868318,592,0.3217448,0.4494388
1100031,2026,1.8096876,16.420889,4.6274223,101,0.45046636,0.5490756
1100049,2026,1.5436935,16.641104,6.299246,543,0.35923707,0.46682298
1100056,2026,1.8764929,15.358306,6.013237,407,0.46693724,0.5544466
1100064,2026,1.555611,15.143443,5.4412208,229,0.38521037,0.46334636
1100072,2026,2.0461311,16.915005,4.485922,87,0.5223166,0.6063297
1100080,2026,2.110422,13.342207,5.3269644,204,0.534648,0.64167315
1100098,2026,1.6857346,15.998053,6.052297,424,0.39935476,0.51875436
1100106,2026,1.498397,17.173185,5.611681,272,0.34134534,0.45769382
1100114,2026,1.5457038,16.155138,5.72725,306,0.35504296,0.47237158
1100122,2026,1.6765271,15.255929,6.416641,610,0.39268938,0.5004615
1100130,2026,1.4517021,15.886175,5.8651304,351,0.31835762,0.44472983
1100148,2026,1.5942045,17.408148,5.9941955,400,0.3805919,0.48167175
1100155,2026,1.529602,15.287756,4.861771,128,0.35026163,0.4596518
1100189,2026,1.5062407,16.081577,5.842454,343,0.34324756,0.45661032
1100205,2026,1.4327004,16.964994,7.394475,1625,0.30721778,0.43729588
1100254,2026,1.6124543,17.724499,5.8043876,330,0.38183492,0.49550653
1100262,2026,1.897727,14.255099,4.4431753,84,0.47561035,0.56825554
1100288,2026,1.7319684,14.232064,6.137388,461,0.42565036,0.5202175
1100296,2026,2.1063604,11.779086,5.5042267,244,0.5291438,0.6796373
1100304,2026,1.4379559,18.200153,7.1111546,1224,0.3118817,0.43133116
1100320,2026,1.9217046,12.656638,5.203896,180,0.4799123,0.5777343
1100338,2026,1.6140897,18.486475,5.30963,201,0.3855226,0.4890335
1100346,2026,1.6093866,13.264797,5.6195674,274,0.37294576,0.4815011
1100379,2026,1.5672948,14.5264,5.340038,207,0.33802113,0.4714375
